"filename", "language", "XML", "C#", "Markdown", "JSON", "comment", "blank", "total"
"d:\Working\MlkAdmin\1_Domain\Entities\GuildMember.cs", "C#", 0, 31, 0, 0, 0, 20, 51
"d:\Working\MlkAdmin\1_Domain\Entities\GuildMessage.cs", "C#", 0, 21, 0, 0, 0, 11, 32
"d:\Working\MlkAdmin\1_Domain\Entities\GuildTextChannel.cs", "C#", 0, 17, 0, 0, 0, 10, 27
"d:\Working\MlkAdmin\1_Domain\Entities\GuildVoiceChannel.cs", "C#", 0, 23, 0, 0, 0, 13, 36
"d:\Working\MlkAdmin\1_Domain\Entities\GuildVoiceSession.cs", "C#", 0, 21, 0, 0, 0, 11, 32
"d:\Working\MlkAdmin\1_Domain\Enums\ProjectsEnums.cs", "C#", 0, 28, 0, 0, 0, 6, 34
"d:\Working\MlkAdmin\1_Domain\Interfaces\IGuildChannelsRepository.cs", "C#", 0, 12, 0, 0, 0, 7, 19
"d:\Working\MlkAdmin\1_Domain\Interfaces\IGuildMembersRepository.cs", "C#", 0, 12, 0, 0, 0, 5, 17
"d:\Working\MlkAdmin\1_Domain\Interfaces\IGuildMessageRepository.cs", "C#", 0, 6, 0, 0, 0, 3, 9
"d:\Working\MlkAdmin\1_Domain\Interfaces\IGuildVoiceSessionRepository.cs", "C#", 0, 6, 0, 0, 0, 3, 9
"d:\Working\MlkAdmin\2_Application\Commands\AuthorizeGuildMember\AuthorizeGuildMember.cs", "C#", 0, 7, 0, 0, 0, 3, 10
"d:\Working\MlkAdmin\2_Application\Commands\AuthorizeGuildMember\AuthorizeGuildMemberHandler.cs", "C#", 0, 40, 0, 0, 0, 8, 48
"d:\Working\MlkAdmin\2_Application\Commands\GetGuildMemberStatistic\GuildMemberStatistic.cs", "C#", 0, 8, 0, 0, 0, 3, 11
"d:\Working\MlkAdmin\2_Application\Commands\GetGuildMemberStatistic\GuildMemberStatisticHandler.cs", "C#", 0, 11, 0, 0, 0, 3, 14
"d:\Working\MlkAdmin\2_Application\Commands\PersonalVoiceChannelName\PersonalVChannelName.cs", "C#", 0, 8, 0, 0, 0, 3, 11
"d:\Working\MlkAdmin\2_Application\Commands\PersonalVoiceChannelName\PersonalVChannelNameHandler.cs", "C#", 0, 38, 0, 0, 0, 7, 45
